run_dir,model,target,target_key,gt_size,sessions,findings,tp_findings,fp_findings,unique_gt_hit,precision
runs/clean_2026-04-09/7B,qwen2.5-coder:7b,http://localhost:3000,js,35,65,204,197,7,10,0.9656862745098039
runs/clean_2026-04-09/14B,qwen2.5-coder:14b,http://localhost:3000,js,35,65,147,146,1,7,0.9931972789115646
runs/clean_2026-04-09/32B,qwen2.5-coder:32b,http://localhost:3000,js,35,65,339,334,5,12,0.9852507374631269
runs/dvwa_2026-04-11/7B,qwen2.5-coder:7b,http://localhost:8080,dvwa,19,36,43,42,1,4,0.9767441860465116
runs/dvwa_2026-04-11/14B,qwen2.5-coder:14b,http://localhost:8080,dvwa,19,41,55,50,5,4,0.9090909090909091
runs/dvwa_2026-04-11/32B,qwen2.5-coder:32b,http://localhost:8080,dvwa,19,36,99,93,6,4,0.9393939393939394
runs/dvwa_2026-04-11/32B-Instruct,qwen2.5:32b,http://localhost:8080,dvwa,19,31,62,52,10,4,0.8387096774193549
runs/cloud_2026-04-13/2026-04-12_19-37-45,pentest-14b,http://localhost:3000,js,35,65,93,93,0,7,1.0
runs/cloud_2026-04-13/2026-04-12_22-11-23,pentest-32b,http://localhost:3000,js,35,65,114,113,1,9,0.9912280701754386
runs/cloud_2026-04-13/2026-04-13_11-47-21,pentest-7b-combined,http://localhost:3000,js,35,64,125,125,0,8,1.0
runs/cloud_2026-04-13/2026-04-13_11-50-01,pentest-7b-r2,http://localhost:3000,js,35,65,177,176,1,11,0.9943502824858758
runs/cloud_2026-04-13/2026-04-13_14-12-57,qwen2.5-coder:7b,http://localhost:3000,js,35,64,170,168,2,11,0.9882352941176471
runs/cloud_2026-04-14_ft/2026-04-14_11-07-42,qwen2.5-coder:7b,http://localhost:3000,js,35,65,112,111,1,5,0.9910714285714286
runs/cloud_2026-04-14_ft/2026-04-14_11-37-17,pentest-7b,http://localhost:3000,js,35,62,147,145,2,9,0.9863945578231292
runs/cloud_2026-04-14_ft/2026-04-14_12-26-08,pentest-14b,http://localhost:3000,js,35,65,72,70,2,6,0.9722222222222222
runs/cloud_2026-04-14_proper/2026-04-14_15-40-57,qwen2.5-coder:7b,http://localhost:3000,js,35,63,128,121,7,6,0.9453125
runs/cloud_2026-04-14_proper/2026-04-14_16-39-28,pentest-7b,http://localhost:3000,js,35,61,145,145,0,10,1.0
runs/cloud_2026-04-14_proper/2026-04-14_17-32-25,pentest-14b,http://localhost:3000,js,35,65,83,83,0,7,1.0
runs/cloud_2026-04-14_32b/2026-04-14_21-17-14,qwen2.5-coder:32b,http://localhost:3000,js,35,65,190,188,2,13,0.9894736842105263
runs/cloud_2026-04-14_32b/2026-04-14_23-59-45,pentest-32b,http://localhost:3000,js,35,60,127,126,1,8,0.9921259842519685
runs/cloud_2026-04-15_balanced/2026-04-14_21-17-14,qwen2.5-coder:32b,http://localhost:3000,js,35,65,190,188,2,13,0.9894736842105263
runs/cloud_2026-04-15_balanced/2026-04-14_23-59-45,pentest-32b,http://localhost:3000,js,35,60,127,126,1,8,0.9921259842519685
runs/cloud_2026-04-15_balanced/2026-04-15_02-48-01,qwen2.5-coder:7b,http://localhost:3000,js,35,61,131,126,5,11,0.9618320610687023
runs/cloud_2026-04-15_balanced/2026-04-15_04-44-17,pentest-7b-balanced,http://localhost:3000,js,35,23,71,71,0,8,1.0
runs/2026-04-17_00-07-23,qwen2.5-coder:7b,http://localhost:3000,js,35,62,236,235,1,13,0.9957627118644068
runs/2026-04-17_12-29-10,qwen2.5-coder:14b-juicy3,http://localhost:3000,js,35,54,128,126,2,9,0.984375
runs/2026-04-17_19-24-01,qwen2.5-coder:7b-juicy3,http://localhost:3000,js,35,63,237,237,0,10,1.0
